,CITY,RANK,STATE,POPULATION,SEXRATIO,LITERACY
156,Hanumangarh,313,Rajasthan,150958.0,894.0,76.88
157,Pathankot,315,Punjab,148937.0,907.0,87.99
158,Sasaram,317,Bihar,147408.0,900.0,80.26
159,Bid,319,Maharashtra,146709.0,941.0,89.34
160,Burari,321,Delhi,146190.0,872.0,88.98
161,Abohar,323,Punjab,145302.0,887.0,78.94
162,Jamuria,325,West Bengal,145276.0,926.0,71.95
163,Godhra,327,Gujarat,143644.0,935.0,87.51
164,Robertson Pet,329,Karnataka,143233.0,1020.0,91.37
165,Rewari,331,Haryana,143021.0,888.0,86.54
166,Bhimavaram,333,Andhra Pradesh,142184.0,1030.0,83.05
167,Chas,335,Jharkhand,141640.0,895.0,83.67
168,Chitradurga,337,Karnataka,140206.0,999.0,87.97
169,Dibrugarh,339,Assam,139565.0,928.0,89.42
170,Chhindwara,341,Madhya Pradesh,138291.0,963.0,89.42
171,Mandya,343,Karnataka,137358.0,1000.0,85.32
172,Raigarh,345,Chhattisgarh,137126.0,953.0,87.02
173,Nalgonda,347,Andhra Pradesh,135744.0,997.0,86.83
174,Malerkotla,349,Punjab,135424.0,897.0,69.1
175,Chhattarpur,351,Madhya Pradesh,133464.0,893.0,83.49
176,Lalitpur,353,Uttar Pradesh,133305.0,917.0,82.39
177,North Barrackpur,355,West Bengal,132806.0,984.0,93.9
178,Palakkad,357,Kerala,130955.0,1052.0,93.9
179,Botad,359,Gujarat,130327.0,926.0,81.99
180,Deoria,361,Uttar Pradesh,129479.0,919.0,86.8
181,Palwal,363,Haryana,128730.0,884.0,81.58
182,Neemuch,365,Madhya Pradesh,128095.0,894.0,84.56
183,Mustafabad,367,Delhi,127167.0,901.0,75.09
184,Guntakal,369,Andhra Pradesh,126270.0,1009.0,74.87
185,Motihari,371,Bihar,126158.0,859.0,84.91
186,Srikakulam,373,Andhra Pradesh,125939.0,1014.0,84.62
187,Patan,375,Gujarat,125497.0,915.0,85.99
188,Udupi,377,Karnataka,125306.0,1022.0,93.55
189,Damoh,379,Madhya Pradesh,125101.0,916.0,86.18
190,Jagadhri,381,Haryana,124894.0,845.0,85.2
191,Kurichi,383,Tamil Nadu,123667.0,1001.0,89.93
192,Palanpur,385,Gujarat,122344.0,912.0,84.46
193,Gokal Pur,387,Delhi,121870.0,879.0,84.72
194,Ashokenagar Kalyangarh,389,West Bengal,121592.0,986.0,91.99
195,Sawai Madhopur,391,Rajasthan,121106.0,922.0,79.44
196,Mandoli,393,Delhi,120417.0,877.0,81.67
197,Kanchrapara,395,West Bengal,120345.0,982.0,90.06
198,Churu,397,Rajasthan,119856.0,945.0,74.23
199,Gangapur,399,Rajasthan,119090.0,895.0,79.12
200,Darjiling,401,West Bengal,118805.0,1007.0,93.85
201,Etah,403,Uttar Pradesh,118517.0,894.0,84.55
202,Chikmagalur,405,Karnataka,118401.0,1017.0,90.25
203,Roorkee,407,Uttarakhand,118200.0,863.0,89.48
204,Baleshwar,409,Orissa,118162.0,962.0,88.09
205,Hoshangabad,411,Madhya Pradesh,117988.0,912.0,87.01
206,Pudukkottai,413,Tamil Nadu,117630.0,1003.0,91.35
207,Hosur,415,Tamil Nadu,116821.0,968.0,87.4
208,Yavatmal,417,Maharashtra,116551.0,991.0,91.95
209,Barnala,419,Punjab,116449.0,862.0,78.42
210,Narasaraopet,421,Andhra Pradesh,116250.0,977.0,79.59
211,Basti,423,Uttar Pradesh,114657.0,908.0,83.3
212,Ambur,425,Tamil Nadu,114608.0,1033.0,86.02
213,Chandausi,427,Uttar Pradesh,114383.0,898.0,70.96
214,Bally Town,429,West Bengal,113377.0,937.0,89.28
215,Bagaha,431,Bihar,112634.0,889.0,59.84
216,Achalpur,433,Maharashtra,112311.0,933.0,91.48
217,Bagalkot,435,Karnataka,111933.0,985.0,85.4
218,Akbarpur,437,Uttar Pradesh,111447.0,944.0,74.49
219,Deesa,439,Gujarat,111160.0,895.0,80.03
220,Nandurbar,441,Maharashtra,111037.0,934.0,88.09
221,Ghazipur,443,Uttar Pradesh,110587.0,908.0,84.27
222,Firozpur,445,Punjab,110313.0,887.0,79.12
223,Mughalsarai,447,Uttar Pradesh,109650.0,901.0,81.17
224,Sehore,449,Madhya Pradesh,108909.0,937.0,84.36
225,Kanpur Cantonment,451,Uttar Pradesh,108534.0,854.0,78.72
